iter	Passed	Remaining
322	4258	3652
323	4271	3638
324	4285	3625
325	4298	3612
326	4310	3598
327	4325	3586
328	4339	3574
329	4356	3564
330	4372	3553
331	4391	3545
332	4404	3531
333	4417	3518
334	4430	3505
335	4443	3491
336	4455	3477
337	4468	3463
338	4480	3449
339	4491	3434
340	4503	3420
341	4516	3407
342	4529	3394
343	4543	3381
344	4556	3367
345	4571	3356
346	4587	3344
347	4600	3331
348	4615	3319
349	4629	3306
350	4642	3293
351	4655	3279
352	4667	3265
353	4678	3251
354	4691	3238
355	4704	3224
356	4717	3211
357	4731	3198
358	4744	3185
359	4757	3171
360	4769	3157
361	4782	3144
362	4794	3130
363	4805	3115
364	4816	3101
365	4827	3086
366	4838	3071
367	4848	3056
368	4860	3042
369	4872	3028
370	4884	3014
371	4896	3000
372	4908	2987
373	4919	2972
374	4933	2959
375	4947	2947
376	4960	2934
377	4974	2921
378	4986	2907
379	4998	2893
380	5010	2880
381	5028	2869
382	5044	2858
383	5058	2845
384	5071	2832
385	5083	2818
386	5095	2804
387	5105	2789
388	5116	2775
389	5127	2760
390	5138	2746
391	5150	2732
392	5163	2719
393	5174	2705
394	5185	2691
395	5196	2677
396	5208	2663
397	5220	2649
398	5233	2636
399	5244	2622
400	5256	2608
401	5268	2594
402	5280	2581
403	5295	2568
404	5307	2555
405	5320	2542
406	5333	2529
407	5347	2516
408	5359	2502
409	5372	2489
410	5383	2475
411	5396	2462
412	5407	2448
413	5418	2434
414	5431	2421
415	5445	2408
416	5457	2395
417	5472	2382
418	5485	2369
419	5498	2356
420	5513	2344
421	5528	2332
422	5545	2320
423	5560	2308
424	5575	2295
425	5589	2282
426	5602	2269
427	5617	2257
428	5632	2245
429	5647	2232
430	5663	2220
431	5728	2227
432	5739	2213
433	5751	2199
434	5761	2185
435	5773	2171
436	5785	2157
437	5797	2144
438	5807	2129
439	5818	2115
440	5831	2102
441	5846	2089
442	5861	2077
443	5877	2064
444	5893	2052
445	5907	2039
446	5921	2026
447	5937	2014
448	5952	2001
449	5966	1988
450	5981	1976
451	5992	1962
452	6005	1948
453	6017	1935
454	6029	1921
455	6042	1908
456	6057	1895
457	6069	1881
458	6079	1867
459	6090	1853
460	6102	1839
461	6113	1826
462	6124	1812
463	6135	1798
464	6147	1784
465	6159	1771
466	6173	1758
467	6187	1745
468	6200	1731
469	6210	1717
470	6221	1704
471	6234	1690
472	6247	1677
473	6260	1664
474	6274	1651
475	6287	1637
476	6301	1624
477	6315	1611
478	6329	1598
479	6341	1585
480	6352	1571
481	6363	1557
482	6374	1544
483	6386	1530
484	6397	1516
485	6407	1503
486	6419	1489
487	6430	1475
488	6443	1462
489	6454	1449
490	6466	1435
491	6477	1421
492	6490	1408
493	6501	1395
494	6515	1382
495	6528	1368
496	6540	1355
497	6552	1342
498	6565	1328
499	6578	1315
500	6591	1302
501	6606	1289
502	6622	1277
503	6636	1264
504	6647	1250
505	6659	1237
506	6670	1223
507	6681	1210
508	6692	1196
509	6703	1183
510	6713	1169
511	6725	1155
512	6736	1142
513	6749	1129
514	6761	1115
515	6774	1102
516	6786	1089
517	6800	1076
518	6814	1063
519	6829	1050
520	6843	1037
521	6855	1024
522	6867	1011
523	6880	997
524	6890	984
525	6903	971
526	6917	958
527	6931	945
528	6943	931
529	6956	918
530	6968	905
531	6982	892
532	6995	879
533	7007	866
534	7021	853
535	7034	839
536	7046	826
537	7058	813
538	7071	800
539	7084	787
540	7095	773
541	7108	760
542	7121	747
543	7136	734
544	7149	721
545	7163	708
546	7175	695
547	7187	682
548	7199	668
549	7211	655
550	7221	642
551	7232	628
552	7242	615
553	7253	602
554	7265	589
555	7276	575
556	7287	562
557	7298	549
558	7310	536
559	7323	523
560	7334	509
561	7347	496
562	7360	483
563	7374	470
564	7390	457
565	7405	444
566	7420	431
567	7436	418
568	7450	405
569	7462	392
570	7474	379
571	7485	366
572	7498	353
573	7512	340
574	7524	327
575	7538	314
576	7553	301
577	7569	288
578	7584	275
579	7600	262
580	7617	249
581	7633	236
582	7648	223
583	7663	209
584	7679	196
585	7693	183
586	7709	170
587	7722	157
588	7736	144
589	7750	131
590	7765	118
591	7780	105
592	7795	92
593	7813	78
594	7828	65
595	7844	52
596	7858	39
597	7872	26
598	7884	13
599	7895	0
